,stock_code,maximum_drawdown,maximum_drawdown_percentage,rate,gain,stop,annualized_returns
185,VALE3,-33941.72530700004,-59.34966158997712,44.606413994169095,0.6000000000000001,0.30000000000000004,26.05732504055249
186,WDO,-20880.252499999697,-34.60631688577991,43.98280802292264,0.6000000000000001,0.30000000000000004,22.904307217237395
187,WIN,-21153.12450000002,-35.85244609183082,43.81084840055633,0.6000000000000001,0.30000000000000004,19.997499110672322
188,PETR4,-46182.60530499999,-59.34287133022141,41.85082872928177,0.6500000000000001,0.30000000000000004,7.328514376881534
189,VALE3,-33031.5044780001,-58.802211082629675,44.100294985250734,0.6500000000000001,0.30000000000000004,28.4522151406283
190,WDO,-22125.184999999692,-36.10898981069875,43.47826086956522,0.6500000000000001,0.30000000000000004,24.36553889618578
191,WIN,-21374.095100000028,-37.0036709732357,43.30042313117066,0.6500000000000001,0.30000000000000004,21.67247706816273
192,PETR4,-43986.385704999986,-55.06533222684126,41.84100418410041,0.7000000000000002,0.30000000000000004,10.1226349461222
193,VALE3,-32202.598607000065,-55.773122492812135,43.83358098068351,0.7000000000000002,0.30000000000000004,33.32861423918918
194,WDO,-20525.024999999703,-31.011469772654205,43.21167883211679,0.7000000000000002,0.30000000000000004,26.379052981811135
195,WIN,-18791.341100000034,-31.986880609093625,42.91784702549575,0.7000000000000002,0.30000000000000004,24.63920022583823
196,PETR4,-44633.88801399997,-54.63142935449928,41.63150492264416,0.7500000000000002,0.30000000000000004,14.520647275121856
197,VALE3,-31225.284055000127,-52.76002802697002,43.69369369369369,0.7500000000000002,0.30000000000000004,33.82406963927216
198,WDO,-20521.40499999994,-31.376924165736565,42.961876832844574,0.7500000000000002,0.30000000000000004,25.869823104228562
199,WIN,-20580.469200000058,-36.49265945966684,42.67425320056899,0.7500000000000002,0.30000000000000004,24.732346405331707
200,PETR4,-42990.04364599996,-47.57998697941297,41.21813031161473,0.8000000000000003,0.30000000000000004,18.172632666612152
201,VALE3,-34727.95428300011,-57.13977379037901,43.161094224924014,0.8000000000000003,0.30000000000000004,29.40382249320541
202,WDO,-20521.40499999994,-30.582070558750747,42.60355029585799,0.8000000000000003,0.30000000000000004,22.98655772762359
203,WIN,-18828.46080000006,-31.99663692103621,42.63233190271817,0.8000000000000003,0.30000000000000004,30.078649170214767
204,PETR4,-42990.04364599996,-46.01086797373853,41.33522727272727,0.8500000000000003,0.30000000000000004,21.14909157203131
205,VALE3,-34185.329698000176,-57.072683326551356,43.00911854103344,0.8500000000000003,0.30000000000000004,29.217219498370373
206,WDO,-20521.40499999994,-30.431818042588084,42.51851851851852,0.8500000000000003,0.30000000000000004,23.091013763475043
207,WIN,-18828.46080000006,-31.326885860742642,42.97994269340974,0.8500000000000003,0.30000000000000004,33.04499706114219
208,PETR4,-42568.08839199997,-47.13989140880241,41.05865522174535,0.9000000000000004,0.30000000000000004,24.417318467333928
209,VALE3,-38696.60177400005,-64.29049817480119,42.98780487804878,0.9000000000000004,0.30000000000000004,27.690482838240026
210,WDO,-20521.40499999994,-30.589302102621197,42.34769687964339,0.9000000000000004,0.30000000000000004,24.748181602844465
211,WIN,-22538.21920000008,-37.830654208953455,42.77456647398844,0.9000000000000004,0.30000000000000004,29.988491342923652
212,PETR4,-42090.774436999985,-57.341566999809324,40.778097982708935,0.9500000000000004,0.30000000000000004,16.08700217244423
213,VALE3,-38434.53627500006,-64.09818173876735,42.63803680981595,0.9500000000000004,0.30000000000000004,31.038212674941178
214,WDO,-20521.40499999994,-30.754770611157582,41.940298507462686,0.9500000000000004,0.30000000000000004,23.37151763204124
215,WIN,-20738.039200000087,-33.76532669480956,42.40231548480463,0.9500000000000004,0.30000000000000004,29.784652281144595
216,PETR4,-42090.77443699998,-52.89247042145154,40.7514450867052,1.0000000000000004,0.30000000000000004,21.18155154753987
217,VALE3,-42051.966860000044,-70.93910371894884,42.592592592592595,1.0000000000000004,0.30000000000000004,31.11302114134833
218,WDO,-20521.40499999994,-30.511672342011703,41.74174174174174,1.0000000000000004,0.30000000000000004,22.16754080661465
219,WIN,-20738.039200000087,-33.60359399691436,42.29651162790697,1.0000000000000004,0.30000000000000004,30.09645469808355
220,PETR4,-49098.857901000185,-78.60299762210225,45.51539491298527,0.5,0.3500000000000001,-4.460753584068877
221,VALE3,-35998.68618099997,-66.44787495411832,47.94908062234795,0.5,0.3500000000000001,26.842035344346215
222,WDO,-28204.249999999738,-42.213235716713875,46.38888888888889,0.5,0.3500000000000001,18.33913700715053
223,WIN,-15505.662499999991,-24.003709380297344,46.8232044198895,0.5,0.3500000000000001,24.527781292650943
224,PETR4,-54423.680239000154,-86.3204343138932,45.25745257452575,0.55,0.3500000000000001,-7.362894406767817
225,VALE3,-34259.62615399994,-61.91590821242172,47.40634005763689,0.55,0.3500000000000001,29.996685084153984
226,WDO,-27279.137499999706,-48.05791778788374,45.68599717114569,0.55,0.3500000000000001,14.657565852488762
227,WIN,-16212.243700000014,-27.611129626306617,46.64804469273743,0.55,0.3500000000000001,23.594192872468334
228,PETR4,-51317.24243000022,-80.43490603247476,44.78021978021978,0.6000000000000001,0.3500000000000001,-0.6481128120240043
229,VALE3,-38292.04213500013,-68.37670608011616,46.24447717231222,0.6000000000000001,0.3500000000000001,26.22143426817505
230,WDO,-28780.347499999734,-52.54196049249998,44.81268011527377,0.6000000000000001,0.3500000000000001,12.702611606892656
231,WIN,-21116.782700000025,-35.263710626523036,46.241134751773046,0.6000000000000001,0.3500000000000001,24.6677206185417
232,PETR4,-49901.16967100008,-76.06778408603556,44.08901251738526,0.6500000000000001,0.3500000000000001,-0.3547988437304417
233,VALE3,-37070.20354700016,-66.96745432819156,45.75260804769001,0.6500000000000001,0.3500000000000001,28.55059878590218
234,WDO,-30300.307499999726,-53.78333046077558,44.31486880466473,0.6500000000000001,0.3500000000000001,13.919982712015955
235,WIN,-21337.753300000033,-36.76721000890366,45.821325648414984,0.6500000000000001,0.3500000000000001,25.557336499667894
236,PETR4,-47704.95007100009,-70.50116556093052,44.10112359550562,0.7000000000000002,0.3500000000000001,2.329059889796281
237,VALE3,-36241.29767600014,-63.670365762292036,45.4954954954955,0.7000000000000002,0.3500000000000001,33.419984442358206
238,WDO,-28700.14749999973,-46.85764569377311,44.052863436123346,0.7000000000000002,0.3500000000000001,16.306808923080183
239,WIN,-18090.06580000004,-30.650910551962866,45.36231884057971,0.7000000000000002,0.3500000000000001,28.578294684910908
240,PETR4,-48352.45238000007,-69.39529381466211,43.97163120567376,0.7500000000000002,0.3500000000000001,7.743826919047048
